ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute,entry_minute_abs,minutes_from_open,or_range_wide,rvol_strong,grade_num,early_entry,r_bucket
AAOI,2026-02-10,bull,A,0.7,49.0,47.03,4.189,48.48,48.74,0.536,48.61,46.983,50.6438,51.8641,2026-02-10 09:56:00,2026-02-10 15:55:00,48.52,EOD,-0.0997,-0.06,0,9,4.61,56,596,26,1,1,1,1,partial_loss
AAOI,2026-02-13,bull,A,0.7,44.26,42.05,5.256,43.705,43.82,0.263,43.7625,42.0079,45.9557,47.2716,2026-02-13 09:55:00,2026-02-13 13:29:00,45.5258,STOP,1.7546,1.0,1,9,1.64,55,595,25,1,1,1,1,small_win
AAOI,2026-02-17,bear,A,0.7,43.8605,42.12,4.132,42.0401,42.06,0.047,42.05,43.9044,39.7322,38.3414,2026-02-17 09:47:00,2026-02-17 11:13:00,43.9044,STOP,-1.8627,-1.0,0,9,1.95,47,587,17,1,1,1,1,full_stop
AAOI,2026-02-19,bull,A,0.7,44.24,42.71,3.582,44.58,44.608,0.063,44.594,42.6673,47.0024,48.4474,2026-02-19 09:55:00,2026-02-19 15:55:00,46.85,EOD,2.2471,1.17,1,9,1.24,55,595,25,1,0,1,1,t1
AAOI,2026-02-20,bull,A,0.7,48.0,45.9601,4.438,48.3,48.42,0.248,48.36,45.9141,51.4173,53.2517,2026-02-20 09:50:00,2026-02-20 10:45:00,53.2517,T2,4.882,2.0,1,9,1.78,50,590,20,1,1,1,1,t1
AAOI,2026-02-24,bull,A,0.7,54.79,51.0,7.431,53.905,54.14,0.436,54.0225,50.949,57.8644,60.1695,2026-02-24 10:06:00,2026-02-24 15:55:00,56.335,EOD,2.3017,0.75,1,10,1.69,6,606,36,1,1,1,0,small_win
AAOI,2026-02-26,bear,A,0.7,58.98,57.0301,3.419,56.5883,56.8763,0.509,56.7323,59.039,53.849,52.1189,2026-02-26 09:49:00,2026-02-26 10:31:00,54.4143,STOP,2.3067,1.0,1,9,1.91,49,589,19,1,1,1,1,small_win
AAOI,2026-03-09,bull,A,0.7,99.39,93.73,6.039,99.1299,99.235,0.106,99.1825,93.6363,106.1152,110.2748,2026-03-09 09:48:00,2026-03-09 15:55:00,110.205,EOD,11.0027,1.98,1,9,1.48,48,588,18,1,0,1,1,t1
AAOI,2026-03-12,bear,A+,0.85,116.91,110.49,5.81,109.5,109.59,0.082,109.545,117.0269,100.1926,94.5812,2026-03-12 09:47:00,2026-03-12 15:55:00,106.44,EOD,3.0831,0.41,1,9,0.98,47,587,17,1,0,2,1,scratch
AAOI,2026-03-13,bear,A,0.7,105.385,98.55,6.936,99.52,99.56,0.04,99.54,105.4904,92.102,87.6392,2026-03-13 09:51:00,2026-03-13 15:55:00,96.46,EOD,3.0601,0.51,1,9,1.42,51,591,21,1,0,1,1,small_win
AAOI,2026-03-18,bull,A+,0.85,97.39,92.6,5.173,98.92,99.01,0.091,98.965,92.5074,107.037,111.8802,2026-03-18 09:55:00,2026-03-18 10:23:00,92.5074,STOP,-6.4774,-1.0,0,9,1.13,55,595,25,1,0,2,1,full_stop
